Crop,Weights,Yield - T.E. (2007-08),Yield - 2007-08,Index - 2007-08,Yield - 2008-09,Index - 2008-09,Yield - 2009-10,Index - 2009-10,Yield - 2010-11,Index - 2010-11,Yield - 2011-12,Index - 2011-12,Yield - 2012-13,Index - 2012-13,Yield - 2013-14,Index - 2013-14,Yield - 2014-15,Index - 2014-15,Yield - 2015-16*,Index - 2015-16*
Rice,16.89,2145.11,2201.61,102.63,2177.81,101.52,2125.16,99.07,2239.02,104.38,2392.86,111.55,2461.34,114.74,2416.29,112.64,2391.31,111.48,2404.27,112.08
Wheat,17.99,2711.35,2802.22,103.35,2907.11,107.22,2839.46,104.72,2988.59,110.23,3177.06,117.18,3116.54,114.94,3145.38,116.01,2749.88,101.42,3093.23,114.08
Jowar,1.59,911.76,1020.85,111.97,962.12,105.52,860.16,94.34,948.71,104.05,957.43,105.01,849.88,93.21,956.57,104.91,883.78,96.93,780.3,85.58
Bajra,1.64,909.89,1041.67,114.48,1015.38,111.59,730.71,80.31,1078.82,118.57,1170.83,128.68,1197.96,131.66,1184.27,130.16,1255.02,137.93,1153.79,126.81
Maize,2.94,2066.23,2335.19,113.02,2413.98,116.83,2023.76,97.94,2540.09,122.93,2477.74,119.92,2566.49,124.21,2675.82,129.5,2631.64,127.36,2509.02,121.43
Ragi,0.36,1451.64,1551.58,106.88,1476.69,101.73,1489.35,102.6,1705.5,117.49,1640.81,113.03,1395.73,96.15,1661.14,114.43,1705.9,117.52,1424.49,98.13
Small Millets,0.08,482.35,529.93,109.86,491.38,101.87,459.84,95.33,552.57,114.56,565.28,117.19,577.72,119.77,630.07,130.63,654.51,135.69,610.36,126.54
Barley,0.25,1993.19,1984.9,99.58,2393.51,120.08,2171.69,108.96,2357.47,118.28,2515.79,126.22,2521.07,126.48,2718.19,136.37,2279.86,114.38,2552.4,128.06
Coarse Cereals,6.86,1260.71,1430.77,112.3,1458.6,112.4,1212.24,93.77,1531.38,117.52,1590.13,119.11,1617.19,118.59,1716.7,124.99,1702.9,135.07,1595.75,126.58
Cereals,41.73,2046.63,2150.69,104.52,2182.76,105.68,2074.79,100.74,2256.33,109.14,2414.9,115.26,2448.58,115.41,2462.11,116.03,2331.31,113.91,2420.73,118.28
Tur,1.69,747.88,825.57,110.39,670.68,89.68,711.14,95.09,655.21,87.61,662.29,88.56,776.47,103.82,812.93,108.7,728.51,97.41,656.18,87.74
Gram,3.47,805.05,762.04,94.66,894.55,111.12,915.14,113.67,895,111.17,928.1,115.28,1036.46,128.74,959.6,119.2,888.65,110.38,858.67,106.66
Moong,0.9,357.36,408.59,114.34,363.96,101.85,225.5,63.1,513.15,143.59,482.54,135.03,436.3,122.09,474.5,132.78,497.88,139.32,418.44,117.09
Urad,1.11,451.98,457,101.11,440.03,97.35,417.77,92.43,541.83,119.88,549.15,121.5,621.72,137.55,554.99,122.79,603.62,133.55,547.05,121.03
Lentil,0.55,623.87,621.63,99.64,692.83,111.05,697.13,111.74,590.82,94.7,677.61,108.61,796.68,127.7,758.65,121.6,704.72,112.96,791.61,126.89
Other Pulses,1.2,475.57,517.91,108.9,528.02,111.03,425.58,89.49,590.51,124.17,569.72,119.8,622.1,130.81,620.29,130.43,677.15,142.39,534.6,112.41
Total Pulses,8.92,611.76,624.61,102.72,659.29,104.88,629.74,100.12,690.9,111.06,698.58,112.79,788.68,124.55,763.59,120.16,728.25,119.04,651.94,106.57
Foodgrains,50.66,1777.76,1859.99,104.2,1908.73,105.55,1797.51,100.63,1930.05,109.52,2078.36,114.81,2128.94,117.05,2119.63,116.81,2027.56,114.05,2056.45,115.68
Groundnut,4.11,1182.17,1459.39,123.45,1162.73,98.36,991.05,83.83,1411.31,119.38,1322.96,111.91,994.25,84.1,1764.5,149.26,1552.14,131.3,1486.4,125.73
